time,open,high,low,close,volume
2023-12-18 06:00:00,2021.81,2024.09,2021.29,2022.77,3410
2023-12-18 07:00:00,2022.77,2023.28,2021.53,2023.09,2222
2023-12-18 08:00:00,2023.07,2024.55,2022.38,2023.13,2775
2023-12-18 09:00:00,2023.1,2024.74,2021.5,2023.29,3743
2023-12-18 10:00:00,2023.31,2024.31,2022.55,2023.11,4754
2023-12-18 11:00:00,2023.11,2026.17,2021.68,2024.39,8356
2023-12-18 12:00:00,2024.4,2027.38,2021.91,2022.92,7324
2023-12-18 13:00:00,2022.91,2024.91,2019.07,2019.23,5829
2023-12-18 14:00:00,2019.31,2022.55,2018.75,2021.97,4509
2023-12-18 15:00:00,2021.93,2024.09,2021.76,2023.52,4623
2023-12-18 16:00:00,2023.51,2026.24,2022.71,2025.75,8781
2023-12-18 17:00:00,2025.73,2026.87,2020.85,2024.35,10806
2023-12-18 18:00:00,2024.37,2025.19,2020.28,2022.14,10474
2023-12-18 19:00:00,2022.16,2024.59,2021.18,2022.34,5648
2023-12-18 20:00:00,2022.36,2033.56,2021.19,2033.47,5666
2023-12-18 21:00:00,2033.48,2033.66,2024.95,2026.49,6750
2023-12-18 22:00:00,2026.47,2027.8,2025.7,2026.34,3874
2023-12-18 23:00:00,2026.34,2026.95,2025.53,2026.46,3572
2023-12-19 00:00:00,2026.5,2027.35,2026.28,2027.14,1472
2023-12-19 02:00:00,2027.02,2027.87,2025.61,2027.6,2285
2023-12-19 03:00:00,2027.48,2029.28,2026.38,2027.21,3266
2023-12-19 04:00:00,2027.22,2028.1,2025.84,2026.07,3812
2023-12-19 05:00:00,2026.12,2026.49,2023.09,2024.48,4583
2023-12-19 06:00:00,2024.43,2025.6,2022.67,2023.19,4364
2023-12-19 07:00:00,2023.18,2024.33,2021.65,2024.13,2702
2023-12-19 08:00:00,2024.14,2025.22,2022.47,2024.06,3399
2023-12-19 09:00:00,2024.03,2026.39,2023.45,2024.84,5568
2023-12-19 10:00:00,2024.84,2026.35,2022.9,2024.82,7601
2023-12-19 11:00:00,2024.81,2028.39,2023.84,2027.14,6290
2023-12-19 12:00:00,2027.14,2027.45,2025.62,2026.23,4422
2023-12-19 13:00:00,2026.41,2026.99,2024.26,2025.61,4153
2023-12-19 14:00:00,2025.59,2027.17,2025.35,2026.5,3265
2023-12-19 15:00:00,2026.49,2030.11,2026.16,2029.42,7348
2023-12-19 16:00:00,2029.42,2032.58,2028.4,2029.99,10415
2023-12-19 17:00:00,2030.02,2042.13,2028.89,2041.34,12769
2023-12-19 18:00:00,2041.43,2045.39,2039.0,2041.85,12968
2023-12-19 19:00:00,2041.85,2046.95,2041.16,2044.32,8913
2023-12-19 20:00:00,2044.35,2045.43,2040.19,2040.41,6246
2023-12-19 21:00:00,2040.44,2040.85,2036.66,2038.93,6085
2023-12-19 22:00:00,2038.78,2039.62,2038.42,2039.55,4246
2023-12-19 23:00:00,2039.53,2040.44,2038.68,2040.35,3134
2023-12-20 00:00:00,2040.34,2040.4,2039.55,2040.36,1173
2023-12-20 02:00:00,2040.25,2041.55,2038.74,2040.9,2787
2023-12-20 03:00:00,2040.86,2040.99,2038.75,2039.19,2947
2023-12-20 04:00:00,2039.18,2039.9,2037.58,2038.09,4667
2023-12-20 05:00:00,2038.06,2040.37,2036.67,2040.04,3302
2023-12-20 06:00:00,2039.94,2040.92,2039.02,2040.42,2227
2023-12-20 07:00:00,2040.4,2041.04,2039.85,2040.55,2180
2023-12-20 08:00:00,2040.55,2041.39,2039.34,2041.24,2230
2023-12-20 09:00:00,2041.24,2042.35,2040.5,2041.18,4021
2023-12-20 10:00:00,2041.16,2043.41,2040.76,2042.12,6464
2023-12-20 11:00:00,2042.09,2042.09,2039.71,2041.0,5086
2023-12-20 12:00:00,2041.0,2042.46,2039.59,2039.94,3943
2023-12-20 13:00:00,2039.94,2040.34,2035.61,2035.82,4196
2023-12-20 14:00:00,2035.78,2035.78,2031.77,2033.46,5731
2023-12-20 15:00:00,2033.41,2036.35,2033.12,2033.99,5952
2023-12-20 16:00:00,2033.99,2036.49,2029.54,2036.36,9609
2023-12-20 17:00:00,2036.35,2039.81,2034.07,2037.98,12903
2023-12-20 18:00:00,2038.22,2038.77,2030.46,2032.5,13510
2023-12-20 19:00:00,2032.6,2035.31,2032.51,2034.79,7208
2023-12-20 20:00:00,2034.77,2035.23,2031.99,2034.68,5954
2023-12-20 21:00:00,2034.7,2036.65,2034.02,2036.25,4968
2023-12-20 22:00:00,2036.25,2037.11,2030.15,2032.23,5631
2023-12-20 23:00:00,2032.22,2033.77,2029.54,2029.77,9159
2023-12-21 00:00:00,2029.77,2031.12,2027.4,2030.55,3442
2023-12-21 02:00:00,2032.09,2033.17,2031.46,2032.11,1942
2023-12-21 03:00:00,2032.27,2034.11,2031.91,2033.68,2229
2023-12-21 04:00:00,2033.68,2035.92,2033.37,2035.48,4858
2023-12-21 05:00:00,2035.48,2037.48,2034.89,2036.88,4059
2023-12-21 06:00:00,2036.92,2037.66,2035.5,2037.49,2828
2023-12-21 07:00:00,2037.5,2037.86,2036.15,2036.24,1787
2023-12-21 08:00:00,2036.28,2038.14,2034.94,2036.23,2629
2023-12-21 09:00:00,2036.21,2037.05,2034.38,2036.91,2939
2023-12-21 10:00:00,2036.91,2037.33,2033.94,2034.91,4447
2023-12-21 11:00:00,2034.99,2037.19,2034.85,2036.47,4683
2023-12-21 12:00:00,2036.42,2037.05,2034.75,2035.39,4411
2023-12-21 13:00:00,2035.35,2036.08,2033.02,2034.06,4418
2023-12-21 14:00:00,2034.02,2035.35,2033.86,2034.12,4751
2023-12-21 15:00:00,2034.11,2039.41,2033.27,2037.94,5572
2023-12-21 16:00:00,2037.87,2046.03,2032.08,2041.77,14076
2023-12-21 17:00:00,2041.79,2045.99,2037.0,2041.92,15589
2023-12-21 18:00:00,2042.0,2042.84,2036.66,2041.53,14877
2023-12-21 19:00:00,2041.57,2044.68,2041.03,2041.68,9858
2023-12-21 20:00:00,2041.64,2043.84,2040.33,2040.99,8597
2023-12-21 21:00:00,2040.98,2041.7,2037.51,2039.04,8061
2023-12-21 22:00:00,2039.04,2045.03,2039.04,2043.88,5493
2023-12-21 23:00:00,2043.83,2045.1,2043.06,2044.11,5137
2023-12-22 00:00:00,2044.08,2045.93,2043.91,2045.91,2105
